,SubbaRao,08-01-2025,-,-,-,35,08-01-2025 18:33:53.077,January,35 - Temperature set to device,0
Water valve,SubbaRao,08-01-2025,W1,Tap Water,--,0,08-01-2025 18:33:54.241,January,Water Valve : 1 is On,0
Water valve,SubbaRao,08-01-2025,W2,Tap Water,--,0,08-01-2025 18:33:59.416,January,Water Valve : 2 is On,0
Water valve,SubbaRao,08-01-2025,W3,Tap Water,--,0,08-01-2025 18:33:59.959,January,Water Valve : 3 is On,0
Water valve,SubbaRao,08-01-2025,W4,Tap Water,--,0,08-01-2025 18:34:00.632,January,Water Valve : 4 is On,0
Water valve,SubbaRao,08-01-2025,W5,Tap Water,--,0,08-01-2025 18:34:01.315,January,Water Valve : 5 is On,0
Water valve,SubbaRao,08-01-2025,W6,Tap Water,--,0,08-01-2025 18:34:01.999,January,Water Valve : 6 is On,0
Water valve,SubbaRao,08-01-2025,-,-,-,0,08-01-2025 18:34:02.669,January,Home Reached,0
Water valve,SubbaRao,08-01-2025,-,-,-,0,08-01-2025 18:34:16.359,January,Home Reached,0
Water valve,SubbaRao,08-01-2025,-,-,-,0,08-01-2025 18:34:18.686,January,Home Reached,0
Water valve,SubbaRao,08-01-2025,U1,-,-,0,08-01-2025 18:34:25.543,January,Liquid Level - 2966,0
Water valve,SubbaRao,08-01-2025,U2,-,-,0,08-01-2025 18:34:37.700,January,Liquid Level - 2973,0
Water valve,SubbaRao,08-01-2025,U3,-,-,0,08-01-2025 18:34:40.374,January,Liquid Level - 2970,0
Water valve,SubbaRao,08-01-2025,U4,-,-,0,08-01-2025 18:34:43.047,January,Liquid Level - 2966,0
Water valve,SubbaRao,08-01-2025,U5,-,-,0,08-01-2025 18:34:45.785,January,Liquid Level - 2974,0
Water valve,SubbaRao,08-01-2025,U6,-,-,0,08-01-2025 18:34:48.463,January,Liquid Level - 3026,0
Water valve,SubbaRao,08-01-2025,J1,-,-,0,08-01-2025 18:34:54.397,January,Liquid Level - 3036,0
Water valve,SubbaRao,08-01-2025,J2,-,-,0,08-01-2025 18:34:56.993,January,Liquid Level - 3038,0
Water valve,SubbaRao,08-01-2025,J3,-,-,0,08-01-2025 18:34:59.563,January,Liquid Level - 2973,0
Water valve,SubbaRao,08-01-2025,J4,-,-,0,08-01-2025 18:35:02.260,January,Liquid Level - 2982,0
Water valve,SubbaRao,08-01-2025,J5,-,-,0,08-01-2025 18:35:04.966,January,Liquid Level - 3004,0
Water valve,SubbaRao,08-01-2025,J6,-,-,0,08-01-2025 18:35:07.637,January,Liquid Level - 2983,0
Water valve,SubbaRao,08-01-2025,J7,-,-,0,08-01-2025 18:35:10.327,January,Liquid Level - 2996,0
Water valve,SubbaRao,08-01-2025,J8,-,-,0,08-01-2025 18:35:13.021,January,Liquid Level - 3001,0
Water valve,SubbaRao,08-01-2025,J9,-,-,0,08-01-2025 18:35:15.743,January,Liquid Level - 3067,0
Water valve,SubbaRao,08-01-2025,J10,-,-,0,08-01-2025 18:35:19.647,January,Liquid Level - 3061,0
