,ps,22-01-2025,-,-,-,35,22-01-2025 10:54:01.708,January,35 - Temperature set to device,0
Water valve,ps,22-01-2025,W1,Tap Water,--,0,22-01-2025 10:54:02.897,January,Water Valve : 1 is On,0
Water valve,ps,22-01-2025,W2,Tap Water,--,0,22-01-2025 10:54:08.086,January,Water Valve : 2 is On,0
Water valve,ps,22-01-2025,W3,Tap Water,--,0,22-01-2025 10:54:08.637,January,Water Valve : 3 is On,0
Water valve,ps,22-01-2025,W4,Tap Water,--,0,22-01-2025 10:54:09.304,January,Water Valve : 4 is On,0
Water valve,ps,22-01-2025,W5,Tap Water,--,0,22-01-2025 10:54:09.984,January,Water Valve : 5 is On,0
Water valve,ps,22-01-2025,W6,Tap Water,--,0,22-01-2025 10:54:10.668,January,Water Valve : 6 is On,0
Water valve,ps,22-01-2025,-,-,-,0,22-01-2025 10:54:11.338,January,Home Reached,0
Water valve,ps,22-01-2025,-,-,-,0,22-01-2025 10:54:17.869,January,Home Reached,0
Water valve,ps,22-01-2025,-,-,-,0,22-01-2025 10:54:20.243,January,Home Reached,0
Water valve,ps,22-01-2025,U1,-,-,0,22-01-2025 10:54:27.100,January,Liquid Level - 3101,0
Water valve,ps,22-01-2025,U2,-,-,0,22-01-2025 10:54:29.916,January,Liquid Level - 3106,0
Water valve,ps,22-01-2025,U3,-,-,0,22-01-2025 10:54:32.597,January,Liquid Level - 3107,0
Water valve,ps,22-01-2025,U4,-,-,0,22-01-2025 10:54:35.280,January,Liquid Level - 3094,0
Water valve,ps,22-01-2025,U5,-,-,0,22-01-2025 10:54:37.945,January,Liquid Level - 3096,0
Water valve,ps,22-01-2025,U6,-,-,0,22-01-2025 10:54:40.629,January,Liquid Level - 3117,0
Water valve,ps,22-01-2025,J1,-,-,0,22-01-2025 10:54:46.561,January,Liquid Level - 3110,0
Water valve,ps,22-01-2025,J2,-,-,0,22-01-2025 10:54:49.481,January,Liquid Level - 3118,0
Water valve,ps,22-01-2025,J3,-,-,0,22-01-2025 10:54:52.182,January,Liquid Level - 3119,0
Water valve,ps,22-01-2025,J4,-,-,0,22-01-2025 10:54:54.882,January,Liquid Level - 3117,0
Water valve,ps,22-01-2025,J5,-,-,0,22-01-2025 10:54:57.558,January,Liquid Level - 3125,0
Water valve,ps,22-01-2025,J6,-,-,0,22-01-2025 10:55:00.260,January,Liquid Level - 3115,0
Water valve,ps,22-01-2025,J7,-,-,0,22-01-2025 10:55:02.924,January,Liquid Level - 3108,0
Water valve,ps,22-01-2025,J8,-,-,0,22-01-2025 10:55:05.593,January,Liquid Level - 3112,0
Water valve,ps,22-01-2025,J9,-,-,0,22-01-2025 10:55:08.265,January,Liquid Level - 3121,0
Water valve,ps,22-01-2025,J10,-,-,0,22-01-2025 10:55:12.185,January,Liquid Level - 3112,0
Water valve,ps,22-01-2025,J11,-,-,0,22-01-2025 10:55:14.677,January,Liquid Level - 3114,0
Water valve,ps,22-01-2025,J12,-,-,0,22-01-2025 10:55:17.383,January,Liquid Level - 3114,0
Water valve,ps,22-01-2025,J13,-,-,0,22-01-2025 10:55:20.049,January,Liquid Level - 3087,0
Water valve,ps,22-01-2025,J14,-,-,0,22-01-2025 10:55:22.915,January,Liquid Level - 3120,0
Water valve,ps,22-01-2025,J15,-,-,0,22-01-2025 10:55:25.439,January,Liquid Level - 3128,0
Water valve,ps,22-01-2025,J16,-,-,0,22-01-2025 10:55:28.121,January,Liquid Level - 3117,0
Water valve,ps,22-01-2025,J17,-,-,0,22-01-2025 10:55:30.795,January,Liquid Level - 3117,0
Water valve,ps,22-01-2025,J18,-,-,0,22-01-2025 10:55:34.690,January,Liquid Level - 3125,0
Water valve,ps,22-01-2025,J19,-,-,0,22-01-2025 10:55:37.186,January,Liquid Level - 3116,0
Water valve,ps,22-01-2025,J20,-,-,0,22-01-2025 10:55:39.844,January,Liquid Level - 3119,0
Water valve,ps,22-01-2025,J21,-,-,0,22-01-2025 10:55:42.525,January,Liquid Level - 3124,0
Water valve,ps,22-01-2025,J22,-,-,0,22-01-2025 10:55:45.190,January,Liquid Level - 3136,0
Water valve,ps,22-01-2025,J23,-,-,0,22-01-2025 10:55:47.836,January,Liquid Level - 3131,0
Water valve,ps,22-01-2025,J24,-,-,0,22-01-2025 10:55:50.515,January,Liquid Level - 3135,0
Water valve,ps,22-01-2025,J25,-,-,0,22-01-2025 10:55:53.195,January,Liquid Level - 3133,0
Water valve,ps,22-01-2025,J26,-,-,0,22-01-2025 10:55:55.888,January,Liquid Level - 3133,0
Water valve,ps,22-01-2025,J27,-,-,0,22-01-2025 10:55:59.363,January,Liquid Level - 3194,0
Water valve,ps,22-01-2025,J28,-,-,0,22-01-2025 10:56:02.269,January,Liquid Level - 3190,0
Water valve,ps,22-01-2025,J29,-,-,0,22-01-2025 10:56:04.981,January,Liquid Level - 3152,0
Water valve,ps,22-01-2025,J30,-,-,0,22-01-2025 10:56:07.636,January,Liquid Level - 3153,0
Water valve,ps,22-01-2025,J31,-,-,0,22-01-2025 10:56:10.316,January,Liquid Level - 3154,0
