,ps,21-04-2025,-,-,-,35,21-04-2025 18:15:43.974,April,35 - Temperature set to device,0
Water valve,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 18:15:47.379,April,Water Valve : 1 is On,0
Water valve,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:15:48.080,April,Water Valve : 2 is On,0
Water valve,ps,21-04-2025,W3,Tap Water,--,0,21-04-2025 18:15:48.780,April,Water Valve : 3 is On,0
Water valve,ps,21-04-2025,W4,Tap Water,--,0,21-04-2025 18:15:49.490,April,Water Valve : 4 is On,0
Water valve,ps,21-04-2025,W5,Tap Water,--,0,21-04-2025 18:15:50.187,April,Water Valve : 5 is On,0
Water valve,ps,21-04-2025,W6,Tap Water,--,0,21-04-2025 18:15:50.884,April,Water Valve : 6 is On,0
Water valve,ps,21-04-2025,-,-,-,0,21-04-2025 18:15:54.370,April,Home Reached,0
Water valve,ps,21-04-2025,-,-,-,0,21-04-2025 18:15:56.608,April,Home Reached,0
Water valve,ps,21-04-2025,U1,-,-,0,21-04-2025 18:16:02.998,April,Liquid Level - 3904,0
Water valve,ps,21-04-2025,U2,-,-,0,21-04-2025 18:16:06.000,April,Liquid Level - 3899,0
Water valve,ps,21-04-2025,U3,-,-,0,21-04-2025 18:16:09.013,April,Liquid Level - 3900,0
Water valve,ps,21-04-2025,U4,-,-,0,21-04-2025 18:16:12.015,April,Liquid Level - 3903,0
Water valve,ps,21-04-2025,U5,-,-,0,21-04-2025 18:16:15.019,April,Liquid Level - 3898,0
Water valve,ps,21-04-2025,U6,-,-,0,21-04-2025 18:16:18.007,April,Liquid Level - 3897,0
Water valve,ps,21-04-2025,J1,-,-,0,21-04-2025 18:16:24.270,April,Liquid Level - 3905,0
Water valve,ps,21-04-2025,J2,-,-,0,21-04-2025 18:16:27.274,April,Liquid Level - 3897,0
Water valve,ps,21-04-2025,J3,-,-,0,21-04-2025 18:16:30.297,April,Liquid Level - 3897,0
Water valve,ps,21-04-2025,J4,-,-,0,21-04-2025 18:16:33.292,April,Liquid Level - 3907,0
Water valve,ps,21-04-2025,J5,-,-,0,21-04-2025 18:16:36.297,April,Liquid Level - 3896,0
Water valve,ps,21-04-2025,J6,-,-,0,21-04-2025 18:16:39.290,April,Liquid Level - 3900,0
Water valve,ps,21-04-2025,J7,-,-,0,21-04-2025 18:16:42.308,April,Liquid Level - 3904,0
Water valve,ps,21-04-2025,J8,-,-,0,21-04-2025 18:16:45.301,April,Liquid Level - 3905,0
Water valve,ps,21-04-2025,J9,-,-,0,21-04-2025 18:16:48.295,April,Liquid Level - 3896,0
Water valve,ps,21-04-2025,J10,-,-,0,21-04-2025 18:16:52.523,April,Liquid Level - 3899,0
Water valve,ps,21-04-2025,J11,-,-,0,21-04-2025 18:16:55.532,April,Liquid Level - 3894,0
Water valve,ps,21-04-2025,J12,-,-,0,21-04-2025 18:16:58.567,April,Liquid Level - 3906,0
Water valve,ps,21-04-2025,J13,-,-,0,21-04-2025 18:17:01.579,April,Liquid Level - 3899,0
Water valve,ps,21-04-2025,J14,-,-,0,21-04-2025 18:17:04.766,April,Liquid Level - 3909,0
Water valve,ps,21-04-2025,J15,-,-,0,21-04-2025 18:17:07.768,April,Liquid Level - 3910,0
Water valve,ps,21-04-2025,J16,-,-,0,21-04-2025 18:17:10.768,April,Liquid Level - 3893,0
Water valve,ps,21-04-2025,J17,-,-,0,21-04-2025 18:17:13.782,April,Liquid Level - 3895,0
Water valve,ps,21-04-2025,J18,-,-,0,21-04-2025 18:17:18.013,April,Liquid Level - 3901,0
Water valve,ps,21-04-2025,J19,-,-,0,21-04-2025 18:17:21.019,April,Liquid Level - 3900,0
Water valve,ps,21-04-2025,J20,-,-,0,21-04-2025 18:17:24.014,April,Liquid Level - 3904,0
Water valve,ps,21-04-2025,J21,-,-,0,21-04-2025 18:17:27.024,April,Liquid Level - 3901,0
Water valve,ps,21-04-2025,J22,-,-,0,21-04-2025 18:17:30.032,April,Liquid Level - 3893,0
Water valve,ps,21-04-2025,J23,-,-,0,21-04-2025 18:17:33.031,April,Liquid Level - 3902,0
Water valve,ps,21-04-2025,J24,-,-,0,21-04-2025 18:17:36.029,April,Liquid Level - 3904,0
Water valve,ps,21-04-2025,J25,-,-,0,21-04-2025 18:17:39.034,April,Liquid Level - 3903,0
Water valve,ps,21-04-2025,J26,-,-,0,21-04-2025 18:17:42.049,April,Liquid Level - 3894,0
Water valve,ps,21-04-2025,J27,-,-,0,21-04-2025 18:17:45.884,April,Liquid Level - 3897,0
Water valve,ps,21-04-2025,J28,-,-,0,21-04-2025 18:17:48.884,April,Liquid Level - 3914,0
Water valve,ps,21-04-2025,J29,-,-,0,21-04-2025 18:17:51.900,April,Liquid Level - 3895,0
Water valve,ps,21-04-2025,J30,-,-,0,21-04-2025 18:17:54.916,April,Liquid Level - 3898,0
Water valve,ps,21-04-2025,J31,-,-,0,21-04-2025 18:17:57.926,April,Liquid Level - 3900,0
Water valve,ps,21-04-2025,J32,-,-,0,21-04-2025 18:18:00.923,April,Liquid Level - 3901,0
Water valve,ps,21-04-2025,J33,-,-,0,21-04-2025 18:18:06.359,April,Liquid Level - 3904,0
Water valve,ps,21-04-2025,W1,-,-,0,21-04-2025 18:18:11.443,April,Liquid Level - 3900,0
Water valve,ps,21-04-2025,W2,-,-,0,21-04-2025 18:18:14.452,April,Liquid Level - 3900,0
Water valve,ps,21-04-2025,W3,-,-,0,21-04-2025 18:18:17.434,April,Liquid Level - 3903,0
Water valve,ps,21-04-2025,W4,-,-,0,21-04-2025 18:18:20.611,April,Liquid Level - 3905,0
Water valve,ps,21-04-2025,W5,-,-,0,21-04-2025 18:18:23.601,April,Liquid Level - 3894,0
Water valve,ps,21-04-2025,W6,-,-,0,21-04-2025 18:18:26.608,April,Liquid Level - 3905,0
Water valve,ps,21-04-2025,H1,-,-,0,21-04-2025 18:18:33.735,April,Liquid Level - 3901,0
Water valve,ps,21-04-2025,H2,-,-,0,21-04-2025 18:18:36.904,April,Liquid Level - 3903,0
Water valve,ps,21-04-2025,H3,-,-,0,21-04-2025 18:18:40.082,April,Liquid Level - 3900,0
Water valve,ps,21-04-2025,-,-,-,0,21-04-2025 18:18:53.365,April,Home Reached,0
Water valve,ps,21-04-2025,-,-,-,0,21-04-2025 18:18:55.574,April,Home Reached,0
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:19:28.132,April,Protorun Started,555
H&E,ps,21-04-2025,-,-,-,30,21-04-2025 18:19:38.346,April,30 - Temperature set to device,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:19:39.586,April,Heater Switched On ,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:19:40.638,April,Heater Door Closed,555
H&E,ps,21-04-2025,-,-,-,36,21-04-2025 18:19:41.347,April,Device temperature ,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 18:19:56.542,April,Water Valve : 1 is Off,555
