,ps,10-02-2025,-,-,-,35,10-02-2025 10:40:52.897,February,35 - Temperature set to device,0
Water valve,ps,10-02-2025,W1,Tap Water,--,0,10-02-2025 10:40:59.297,February,Water Valve : 1 is On,0
Water valve,ps,10-02-2025,W2,Tap Water,--,0,10-02-2025 10:40:59.837,February,Water Valve : 2 is On,0
Water valve,ps,10-02-2025,W3,Tap Water,--,0,10-02-2025 10:41:00.519,February,Water Valve : 3 is On,0
Water valve,ps,10-02-2025,W4,Tap Water,--,0,10-02-2025 10:41:01.189,February,Water Valve : 4 is On,0
Water valve,ps,10-02-2025,W5,Tap Water,--,0,10-02-2025 10:41:01.871,February,Water Valve : 5 is On,0
Water valve,ps,10-02-2025,W6,Tap Water,--,0,10-02-2025 10:41:02.540,February,Water Valve : 6 is On,0
Water valve,ps,10-02-2025,-,-,-,0,10-02-2025 10:41:03.214,February,Home Reached,0
Water valve,ps,10-02-2025,-,-,-,0,10-02-2025 10:41:18.392,February,Home Reached,0
Water valve,ps,10-02-2025,-,-,-,0,10-02-2025 10:41:20.726,February,Home Reached,0
Water valve,ps,10-02-2025,U1,-,-,0,10-02-2025 10:41:27.611,February,Liquid Level - 3112,0
Water valve,ps,10-02-2025,U2,-,-,0,10-02-2025 10:41:30.400,February,Liquid Level - 3108,0
Water valve,ps,10-02-2025,U3,-,-,0,10-02-2025 10:41:33.089,February,Liquid Level - 3105,0
Water valve,ps,10-02-2025,U4,-,-,0,10-02-2025 10:41:35.758,February,Liquid Level - 3100,0
Water valve,ps,10-02-2025,U5,-,-,0,10-02-2025 10:41:38.435,February,Liquid Level - 3093,0
Water valve,ps,10-02-2025,U6,-,-,0,10-02-2025 10:41:41.136,February,Liquid Level - 3111,0
Water valve,ps,10-02-2025,J1,-,-,0,10-02-2025 10:41:47.065,February,Liquid Level - 3115,0
Water valve,ps,10-02-2025,J2,-,-,0,10-02-2025 10:41:49.553,February,Liquid Level - 3116,0
Water valve,ps,10-02-2025,J3,-,-,0,10-02-2025 10:41:52.267,February,Liquid Level - 3124,0
Water valve,ps,10-02-2025,J4,-,-,0,10-02-2025 10:41:54.923,February,Liquid Level - 3118,0
Water valve,ps,10-02-2025,J5,-,-,0,10-02-2025 10:41:57.594,February,Liquid Level - 3121,0
Water valve,ps,10-02-2025,J6,-,-,0,10-02-2025 10:42:00.252,February,Liquid Level - 3114,0
Water valve,ps,10-02-2025,J7,-,-,0,10-02-2025 10:42:02.931,February,Liquid Level - 3118,0
