,ps,12-02-2025,-,-,-,35,12-02-2025 14:37:25.718,February,35 - Temperature set to device,0
Water valve,ps,12-02-2025,W1,Tap Water,--,0,12-02-2025 14:37:32.892,February,Water Valve : 1 is On,0
Water valve,ps,12-02-2025,W2,Tap Water,--,0,12-02-2025 14:37:33.543,February,Water Valve : 2 is On,0
Water valve,ps,12-02-2025,W3,Tap Water,--,0,12-02-2025 14:37:34.344,February,Water Valve : 3 is On,0
Water valve,ps,12-02-2025,W4,Tap Water,--,0,12-02-2025 14:37:35.119,February,Water Valve : 4 is On,0
Water valve,ps,12-02-2025,W5,Tap Water,--,0,12-02-2025 14:37:35.877,February,Water Valve : 5 is On,0
Water valve,ps,12-02-2025,W6,Tap Water,--,0,12-02-2025 14:37:36.652,February,Water Valve : 6 is On,0
Water valve,ps,12-02-2025,-,-,-,0,12-02-2025 14:37:38.827,February,Home Reached,0
Water valve,ps,12-02-2025,-,-,-,0,12-02-2025 14:37:44.539,February,Home Reached,0
Water valve,ps,12-02-2025,-,-,-,0,12-02-2025 14:37:47.023,February,Home Reached,0
Water valve,ps,12-02-2025,U1,-,-,0,12-02-2025 14:37:53.489,February,Liquid Level - 3147,0
Water valve,ps,12-02-2025,U2,-,-,0,12-02-2025 14:37:56.397,February,Liquid Level - 3140,0
Water valve,ps,12-02-2025,U3,-,-,0,12-02-2025 14:37:59.169,February,Liquid Level - 3151,0
Water valve,ps,12-02-2025,U4,-,-,0,12-02-2025 14:38:01.959,February,Liquid Level - 3138,0
Water valve,ps,12-02-2025,U5,-,-,0,12-02-2025 14:38:04.736,February,Liquid Level - 3130,0
Water valve,ps,12-02-2025,U6,-,-,0,12-02-2025 14:38:07.509,February,Liquid Level - 3152,0
Water valve,ps,12-02-2025,J1,-,-,0,12-02-2025 14:38:13.557,February,Liquid Level - 3149,0
Water valve,ps,12-02-2025,J2,-,-,0,12-02-2025 14:38:16.582,February,Liquid Level - 3153,0
Water valve,ps,12-02-2025,J3,-,-,0,12-02-2025 14:38:19.355,February,Liquid Level - 3159,0
Water valve,ps,12-02-2025,J4,-,-,0,12-02-2025 14:38:22.145,February,Liquid Level - 3159,0
