Command Sent SET TEMPERATURE - #0,10,32*870a  * 21-03-2025 14:00:05.209
CRC-Response  - 0,10,F000*1ae9 * 21-03-2025 14:00:05.694
Command Sent HEATER ON - #1,12,1*dbe7  * 21-03-2025 14:00:06.869
CRC-Response  - 1,12,F000*68e5 * 21-03-2025 14:00:06.974
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 21-03-2025 14:00:07.636
CRC-Response  - 2,8,I001*fd79 * 21-03-2025 14:00:08.84
CRC-Response  - 2,8,F000*29bb * 21-03-2025 14:00:08.88
Command Sent READ TEMPERATURE - #3,11*ed1a  * 21-03-2025 14:00:08.763
CRC-Response  - 3,11,F000,545*d48f * 21-03-2025 14:00:08.880
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 21-03-2025 14:00:19.58
CRC-Response  - 4,13,F000*e9db * 21-03-2025 14:00:19.163
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 21-03-2025 14:00:19.825
CRC-Response  - 5,13,F000*79d6 * 21-03-2025 14:00:19.934
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 21-03-2025 14:00:20.604
CRC-Response  - 6,13,F000*89c2 * 21-03-2025 14:00:20.723
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 21-03-2025 14:00:21.392
CRC-Response  - 7,13,F000*19cf * 21-03-2025 14:00:21.498
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 21-03-2025 14:00:22.160
CRC-Response  - 8,13,F000*e98e * 21-03-2025 14:00:22.268
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 21-03-2025 14:00:22.936
CRC-Response  - 9,13,F000*7983 * 21-03-2025 14:00:23.44
Command Sent HEATER OFF - #10,12,0*121c  * 21-03-2025 14:00:23.708
CRC-Response  - 10,12,F000*35c3 * 21-03-2025 14:00:23.815
Command Sent Home Command - #11,5,01111111*e264  * 21-03-2025 14:00:24.481
CRC-Response  - 11,5,I001,01111111*59be * 21-03-2025 14:00:37.846
CRC-Response  - 11,5,F000*4be9 * 21-03-2025 14:00:37.849
Command Sent Home Command - #12,5,01111111*e660  * 21-03-2025 14:00:40.160
CRC-Response  - 12,5,I001,01111111*a94e * 21-03-2025 14:00:53.536
CRC-Response  - 12,5,F000*5ea9 * 21-03-2025 14:00:53.540
Command Sent Level Sensing For L1 - #13,4,17564,16380,0,0*94b5  * 21-03-2025 14:00:54.852
CRC-Response  - 13,4,I001*97ab * 21-03-2025 14:01:02.341
CRC-Response  - 13,4,F000,836*f3f1 * 21-03-2025 14:01:02.345
L1 Value - 200 * 21-03-2025 14:01:02.367
Command Sent Level Sensing For L2 - #14,4,13934,16380,0,0*e418  * 21-03-2025 14:01:02.543
CRC-Response  - 14,4,I001*71ea * 21-03-2025 14:01:04.949
CRC-Response  - 14,4,F000,789*0f73 * 21-03-2025 14:01:04.952
L2 Value - 200 * 21-03-2025 14:01:04.964
Command Sent Level Sensing For L3 - #15,4,10304,16380,0,0*153a  * 21-03-2025 14:01:05.600
CRC-Response  - 15,4,I001*bd2b * 21-03-2025 14:01:08.0
CRC-Response  - 15,4,F000,791*9a8e * 21-03-2025 14:01:08.8
L3 Value - 200 * 21-03-2025 14:01:08.21
Command Sent Home Command - #16,5,01111111*2991  * 21-03-2025 14:01:08.665
CRC-Response  - 16,5,I001,01111111*680c * 21-03-2025 14:01:22.17
CRC-Response  - 16,5,F000*ada8 * 21-03-2025 14:01:22.19
Command Sent Home Command - #17,5,01111111*ea6c  * 21-03-2025 14:01:23.355
CRC-Response  - 17,5,I001,01111111*f85d * 21-03-2025 14:01:36.710
CRC-Response  - 17,5,F000*6169 * 21-03-2025 14:01:36.714
Rack - 1Protocol Started * 21-03-2025 14:01:37.609
Command Sent Rack-1 Picked from L1 - #18,2,1,17564,16380,0,0*c654  * 21-03-2025 14:01:37.829
CRC-Response  - 18,2,I001,1*4512 * 21-03-2025 14:01:43.962
CRC-Response  - 18,2,F000,1*7a43 * 21-03-2025 14:01:43.965
RA Picked Rack From L1 * 21-03-2025 14:01:43.966
Command Sent Rack-1 Placed in H1 - #19,3,1,2688,1000,0,1*0ed4  * 21-03-2025 14:01:44.539
CRC-Response  - 19,3,I001,1*4c82 * 21-03-2025 14:01:51.519
CRC-Response  - 19,3,F000,1*73d3 * 21-03-2025 14:01:51.525
RA Placed Rack in H1 * 21-03-2025 14:01:51.526
Command Sent HEATER ON - #20,12,1*d2ee  * 21-03-2025 14:01:51.724
CRC-Response  - 20,12,F000*3a33 * 21-03-2025 14:01:51.843
Command Sent HEATER DOOR CLOSE - #21,8,1,0*e701  * 21-03-2025 14:01:52.555
CRC-Response  - 21,8,I001*723e * 21-03-2025 14:01:53.13
CRC-Response  - 21,8,F000*a6fc * 21-03-2025 14:01:53.32
Command Sent READ TEMPERATURE - #22,11*f106  * 21-03-2025 14:01:53.698
CRC-Response  - 22,11,F000,545*4d16 * 21-03-2025 14:01:53.814
Command Sent READ TEMPERATURE - #23,11*0d07  * 21-03-2025 14:02:03.969
CRC-Response  - 23,11,F000,545*cc14 * 21-03-2025 14:02:04.75
Command Sent READ TEMPERATURE - #24,11*7906  * 21-03-2025 14:02:14.258
CRC-Response  - 24,11,F000,545*8b1f * 21-03-2025 14:02:14.375
Command Sent READ TEMPERATURE - #25,11*8507  * 21-03-2025 14:02:22.765
CRC-Response  - 25,11,F000,545*0a1d * 21-03-2025 14:02:22.884
Command Sent READ TEMPERATURE - #26,11*c107  * 21-03-2025 14:02:24.548
CRC-Response  - 26,11,F000,447*c8c8 * 21-03-2025 14:02:24.663
Command Sent READ TEMPERATURE - #27,11*3d06  * 21-03-2025 14:02:34.836
CRC-Response  - 27,11,F000,545*481a * 21-03-2025 14:02:34.943
Command Sent READ TEMPERATURE - #28,11*2905  * 21-03-2025 14:02:45.97
CRC-Response  - 28,11,F000,545*470e * 21-03-2025 14:02:45.254
Command Sent READ TEMPERATURE - #29,11*d504  * 21-03-2025 14:02:55.416
CRC-Response  - 29,11,F000,545*c60c * 21-03-2025 14:02:55.522
Command Sent READ TEMPERATURE - #30,11*893a  * 21-03-2025 14:03:05.706
CRC-Response  - 30,11,F000,545*ce11 * 21-03-2025 14:03:05.816
Command Sent READ TEMPERATURE - #31,11*753b  * 21-03-2025 14:03:15.995
CRC-Response  - 31,11,F000,447*4ec3 * 21-03-2025 14:03:16.215
Command Sent READ TEMPERATURE - #32,11*313b  * 21-03-2025 14:03:26.381
CRC-Response  - 32,11,F000,447*8dc6 * 21-03-2025 14:03:26.487
Command Sent READ TEMPERATURE - #33,11*cd3a  * 21-03-2025 14:03:36.690
CRC-Response  - 33,11,F000,545*0d14 * 21-03-2025 14:03:36.810
Command Sent READ TEMPERATURE - #34,11*b93b  * 21-03-2025 14:03:46.966
CRC-Response  - 34,11,F000,545*4a1f * 21-03-2025 14:03:47.84
Command Sent READ TEMPERATURE - #35,11*453a  * 21-03-2025 14:03:57.250
CRC-Response  - 35,11,F000,545*cb1d * 21-03-2025 14:03:57.368
Command Sent READ TEMPERATURE - #36,11*013a  * 21-03-2025 14:04:07.540
CRC-Response  - 36,11,F000,447*09c8 * 21-03-2025 14:04:07.768
Command Sent READ TEMPERATURE - #37,11*fd3b  * 21-03-2025 14:04:17.947
CRC-Response  - 37,11,F000,-273*1faf * 21-03-2025 14:04:18.66
Command Sent READ TEMPERATURE - #38,11*e938  * 21-03-2025 14:04:28.224
CRC-Response  - 38,11,F000,-273*10a0 * 21-03-2025 14:04:28.344
Command Sent READ TEMPERATURE - #39,11*1539  * 21-03-2025 14:04:38.505
CRC-Response  - 39,11,F000,545*070c * 21-03-2025 14:04:38.609
Command Sent READ TEMPERATURE - #40,11*498f  * 21-03-2025 14:04:48.794
CRC-Response  - 40,11,F000,545*0917 * 21-03-2025 14:04:48.901
