Command Sent SET TEMPERATURE - #0,10,32*870a  * 19-03-2025 16:30:47.280
CRC-Response  - 0,10,F000*1ae9 * 19-03-2025 16:30:47.535
Command Sent HEATER ON - #1,12,1*dbe7  * 19-03-2025 16:30:48.604
CRC-Response  - 1,12,F000*68e5 * 19-03-2025 16:30:48.818
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 19-03-2025 16:30:49.374
CRC-Response  - 2,8,I001*fd79 * 19-03-2025 16:30:49.580
CRC-Response  - 2,8,F000*29bb * 19-03-2025 16:30:49.920
Command Sent READ TEMPERATURE - #3,11*ed1a  * 19-03-2025 16:30:50.159
CRC-Response  - 3,11,F000,545*d48f * 19-03-2025 16:30:50.367
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 19-03-2025 16:31:00.414
CRC-Response  - 4,13,F000*e9db * 19-03-2025 16:31:00.627
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 19-03-2025 16:31:01.185
CRC-Response  - 5,13,F000*79d6 * 19-03-2025 16:31:01.398
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 19-03-2025 16:31:01.961
CRC-Response  - 6,13,F000*89c2 * 19-03-2025 16:31:02.166
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 19-03-2025 16:31:02.730
CRC-Response  - 7,13,F000*19cf * 19-03-2025 16:31:02.942
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 19-03-2025 16:31:03.490
CRC-Response  - 8,13,F000*e98e * 19-03-2025 16:31:03.696
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 19-03-2025 16:31:04.257
CRC-Response  - 9,13,F000*7983 * 19-03-2025 16:31:04.473
Command Sent HEATER OFF - #10,12,0*121c  * 19-03-2025 16:31:05.22
CRC-Response  - 10,12,F000*35c3 * 19-03-2025 16:31:05.234
Command Sent Home Command - #11,5,01111111*e264  * 19-03-2025 16:31:05.787
CRC-Response  - 11,5,I001,01111111*59be * 19-03-2025 16:31:06.4
CRC-Response  - 11,5,F000*4be9 * 19-03-2025 16:31:19.255
Command Sent Home Command - #12,5,01111111*e660  * 19-03-2025 16:31:21.620
CRC-Response  - 12,5,I001,01111111*a94e * 19-03-2025 16:31:21.829
