Command Sent SET TEMPERATURE - #0,10,32*870a  * 21-03-2025 00:02:45.364
CRC-Response  - 0,10,F000*1ae9 * 21-03-2025 00:02:45.654
Command Sent HEATER ON - #1,12,1*dbe7  * 21-03-2025 00:02:46.831
CRC-Response  - 1,12,F000*68e5 * 21-03-2025 00:02:46.939
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 21-03-2025 00:02:47.596
CRC-Response  - 2,8,I001*fd79 * 21-03-2025 00:02:48.43
CRC-Response  - 2,8,F000*29bb * 21-03-2025 00:02:48.49
Command Sent READ TEMPERATURE - #3,11*ed1a  * 21-03-2025 00:02:48.719
CRC-Response  - 3,11,F000,545*d48f * 21-03-2025 00:02:48.827
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 21-03-2025 00:02:58.994
CRC-Response  - 4,13,F000*e9db * 21-03-2025 00:02:59.102
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 21-03-2025 00:02:59.767
CRC-Response  - 5,13,F000*79d6 * 21-03-2025 00:02:59.873
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 21-03-2025 00:03:00.543
CRC-Response  - 6,13,F000*89c2 * 21-03-2025 00:03:00.648
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 21-03-2025 00:03:01.309
CRC-Response  - 7,13,F000*19cf * 21-03-2025 00:03:01.415
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 21-03-2025 00:03:02.80
CRC-Response  - 8,13,F000*e98e * 21-03-2025 00:03:02.186
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 21-03-2025 00:03:02.871
CRC-Response  - 9,13,F000*7983 * 21-03-2025 00:03:02.990
Command Sent HEATER OFF - #10,12,0*121c  * 21-03-2025 00:03:03.655
CRC-Response  - 10,12,F000*35c3 * 21-03-2025 00:03:03.763
Command Sent Home Command - #11,5,01111111*e264  * 21-03-2025 00:03:04.433
CRC-Response  - 11,5,I001,01111111*59be * 21-03-2025 00:03:17.784
CRC-Response  - 11,5,F000*4be9 * 21-03-2025 00:03:17.787
Command Sent Home Command - #12,5,01111111*e660  * 21-03-2025 00:03:20.99
CRC-Response  - 12,5,I001,01111111*a94e * 21-03-2025 00:03:33.454
CRC-Response  - 12,5,F000*5ea9 * 21-03-2025 00:03:33.457
Command Sent Level Sensing For L1 - #13,4,17564,16380,0,0*94b5  * 21-03-2025 00:03:34.800
CRC-Response  - 13,4,I001*97ab * 21-03-2025 00:03:38.996
CRC-Response  - 13,4,F000,858*9773 * 21-03-2025 00:03:39.3
L1 Value - 200 * 21-03-2025 00:03:39.28
Command Sent Level Sensing For L2 - #14,4,13934,16380,0,0*e418  * 21-03-2025 00:03:39.680
CRC-Response  - 14,4,I001*71ea * 21-03-2025 00:03:42.78
CRC-Response  - 14,4,F000,780*09b3 * 21-03-2025 00:03:42.81
L2 Value - 200 * 21-03-2025 00:03:42.96
Command Sent Level Sensing For L3 - #15,4,10304,16380,0,0*153a  * 21-03-2025 00:03:42.756
CRC-Response  - 15,4,I001*bd2b * 21-03-2025 00:03:45.157
CRC-Response  - 15,4,F000,791*9a8e * 21-03-2025 00:03:45.164
L3 Value - 200 * 21-03-2025 00:03:45.177
Command Sent Home Command - #16,5,01111111*2991  * 21-03-2025 00:03:45.825
CRC-Response  - 16,5,I001,01111111*680c * 21-03-2025 00:03:59.178
CRC-Response  - 16,5,F000*ada8 * 21-03-2025 00:03:59.182
Command Sent Home Command - #17,5,01111111*ea6c  * 21-03-2025 00:04:00.546
CRC-Response  - 17,5,I001,01111111*f85d * 21-03-2025 00:04:13.909
CRC-Response  - 17,5,F000*6169 * 21-03-2025 00:04:13.914
Rack - 1Protocol Started * 21-03-2025 00:04:14.902
Command Sent Rack-1 Picked from L1 - #18,2,1,17564,16380,0,0*c654  * 21-03-2025 00:04:15.119
CRC-Response  - 18,2,I001,1*4512 * 21-03-2025 00:04:21.230
CRC-Response  - 18,2,F000,1*7a43 * 21-03-2025 00:04:21.232
RA Picked Rack From L1 * 21-03-2025 00:04:21.234
Command Sent Rack-1 Placed in H1 - #19,3,1,2688,1000,0,1*0ed4  * 21-03-2025 00:04:21.823
CRC-Response  - 19,3,I001,1*4c82 * 21-03-2025 00:04:28.784
CRC-Response  - 19,3,F000,1*73d3 * 21-03-2025 00:04:28.787
RA Placed Rack in H1 * 21-03-2025 00:04:28.791
Command Sent HEATER ON - #20,12,1*d2ee  * 21-03-2025 00:04:29.20
CRC-Response  - 20,12,F000*3a33 * 21-03-2025 00:04:29.126
Command Sent HEATER DOOR CLOSE - #21,8,1,0*e701  * 21-03-2025 00:04:29.807
CRC-Response  - 21,8,I001*723e * 21-03-2025 00:04:30.256
CRC-Response  - 21,8,F000*a6fc * 21-03-2025 00:04:30.269
Command Sent READ TEMPERATURE - #22,11*f106  * 21-03-2025 00:04:30.917
CRC-Response  - 22,11,F000,545*4d16 * 21-03-2025 00:04:31.33
Command Sent READ TEMPERATURE - #23,11*0d07  * 21-03-2025 00:04:41.203
CRC-Response  - 23,11,F000,545*cc14 * 21-03-2025 00:04:41.321
Command Sent READ TEMPERATURE - #24,11*7906  * 21-03-2025 00:04:51.471
CRC-Response  - 24,11,F000,545*8b1f * 21-03-2025 00:04:51.577
Command Sent READ TEMPERATURE - #25,11*8507  * 21-03-2025 00:05:00.68
CRC-Response  - 25,11,F000,545*0a1d * 21-03-2025 00:05:00.175
Command Sent READ TEMPERATURE - #26,11*c107  * 21-03-2025 00:05:01.752
CRC-Response  - 26,11,F000,545*c918 * 21-03-2025 00:05:01.859
Command Sent READ TEMPERATURE - #27,11*3d06  * 21-03-2025 00:05:12.33
CRC-Response  - 27,11,F000,545*481a * 21-03-2025 00:05:12.144
Command Sent READ TEMPERATURE - #28,11*2905  * 21-03-2025 00:05:22.329
CRC-Response  - 28,11,F000,545*470e * 21-03-2025 00:05:22.434
Command Sent READ TEMPERATURE - #29,11*d504  * 21-03-2025 00:05:32.598
CRC-Response  - 29,11,F000,447*c7dc * 21-03-2025 00:05:32.719
Command Sent READ TEMPERATURE - #30,11*893a  * 21-03-2025 00:05:42.873
CRC-Response  - 30,11,F000,545*ce11 * 21-03-2025 00:05:42.979
Command Sent READ TEMPERATURE - #31,11*753b  * 21-03-2025 00:05:53.142
