Command Sent SET TEMPERATURE - #0,10,32*870a  * 24-03-2025 13:52:31.636
CRC-Response  - 0,10,F000*1ae9 * 24-03-2025 13:52:31.999
Command Sent HEATER ON - #1,12,1*dbe7  * 24-03-2025 13:52:33.172
CRC-Response  - 1,12,F000*68e5 * 24-03-2025 13:52:33.385
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 24-03-2025 13:52:34.35
CRC-Response  - 2,8,I001*fd79 * 24-03-2025 13:52:34.251
CRC-Response  - 2,8,F000*29bb * 24-03-2025 13:52:34.589
Command Sent READ TEMPERATURE - #3,11*ed1a  * 24-03-2025 13:52:34.914
CRC-Response  - 3,11,F000,545*d48f * 24-03-2025 13:52:35.130
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 24-03-2025 13:52:45.310
CRC-Response  - 4,13,F000*e9db * 24-03-2025 13:52:45.524
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 24-03-2025 13:52:46.210
CRC-Response  - 5,13,F000*79d6 * 24-03-2025 13:52:46.417
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 24-03-2025 13:52:47.83
CRC-Response  - 6,13,F000*89c2 * 24-03-2025 13:52:47.297
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 24-03-2025 13:52:47.952
CRC-Response  - 7,13,F000*19cf * 24-03-2025 13:52:48.159
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 24-03-2025 13:52:48.809
CRC-Response  - 8,13,F000*e98e * 24-03-2025 13:52:49.22
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 24-03-2025 13:52:49.688
CRC-Response  - 9,13,F000*7983 * 24-03-2025 13:52:49.899
Command Sent HEATER OFF - #10,12,0*121c  * 24-03-2025 13:52:50.565
CRC-Response  - 10,12,F000*35c3 * 24-03-2025 13:52:50.780
Command Sent Home Command - #11,5,01111111*e264  * 24-03-2025 13:52:51.429
CRC-Response  - 11,5,I001,01111111*59be * 24-03-2025 13:52:51.643
CRC-Response  - 11,5,F000*4be9 * 24-03-2025 13:52:51.646
Command Sent Home Command - #12,5,01111111*e660  * 24-03-2025 13:52:54.301
CRC-Response  - 12,5,I001,01111111*a94e * 24-03-2025 13:52:54.516
CRC-Response  - 12,5,F000*5ea9 * 24-03-2025 13:52:54.519
Command Sent Level Sensing For L1 - #13,4,17564,16380,0,0*94b5  * 24-03-2025 13:52:56.187
CRC-Response  - 13,4,I001*97ab * 24-03-2025 13:52:56.401
CRC-Response  - 13,4,F000,975*f2e2 * 24-03-2025 13:53:04.671
L1 Value - 200 * 24-03-2025 13:53:04.695
Command Sent Level Sensing For L2 - #14,4,13934,16380,0,0*e418  * 24-03-2025 13:53:05.168
CRC-Response  - 14,4,I001*71ea * 24-03-2025 13:53:05.384
CRC-Response  - 14,4,F000,972*fb56 * 24-03-2025 13:53:07.667
L2 Value - 200 * 24-03-2025 13:53:07.685
Command Sent Level Sensing For L3 - #15,4,10304,16380,0,0*153a  * 24-03-2025 13:53:08.53
CRC-Response  - 15,4,I001*bd2b * 24-03-2025 13:53:08.265
CRC-Response  - 15,4,F000,961*a9ea * 24-03-2025 13:53:10.547
L3 Value - 200 * 24-03-2025 13:53:10.565
Command Sent Home Command - #16,5,01111111*2991  * 24-03-2025 13:53:10.916
CRC-Response  - 16,5,I001,01111111*680c * 24-03-2025 13:53:11.133
CRC-Response  - 16,5,F000*ada8 * 24-03-2025 13:53:11.139
Command Sent Home Command - #17,5,01111111*ea6c  * 24-03-2025 13:53:12.831
CRC-Response  - 17,5,I001,01111111*f85d * 24-03-2025 13:53:13.45
CRC-Response  - 17,5,F000*6169 * 24-03-2025 13:53:13.48
Rack - 1Protocol Started * 24-03-2025 13:53:14.317
Command Sent Rack-1 Picked from L1 - #18,2,1,17564,16380,0,0*c654  * 24-03-2025 13:53:17.19
